woodruff_c. henman_t. 1
agassi_a. arazi_h. 1
kafelnikov_y. el_aynaoui_y. 1
norman_m. kiefer_n. 1
sampras_p. woodruff_c. 1
agassi_a. sampras_p. 1
kafelnikov_y. norman_m. 1
agassi_a. kafelnikov_y. 1
alami_k. norman_m. 1
arazi_h. schuettler_r. 1
black_w. vacek_d. 1
blanco_g. schalken_s. 1
costa_a. berasategui_a. 1
el_aynaoui_y. ilie_a. 1
ferrero_j.c. damm_m. 1
golmard_j. clavet_f. 1
kiefer_n. burgsmuller_l. 1
koubek_s. marin_j.a. 1
lapentti_n. gross_o. 1
mantilla_f. black_b. 1
martin_a. tarango_j. 1
novak_j. alvarez_e. 1
pavel_a. prinosil_d. 1
vicente_f. paes_l. 1
alami_k. vicente_f. 1
costa_a. koubek_s. 1
el_aynaoui_y. blanco_g. 1
ferrero_j.c. lapentti_n. 1
golmard_j. pavel_a. 1
kiefer_n. martin_a. 1
mantilla_f. black_w. 1
novak_j. arazi_h. 1
alami_k. novak_j. 1
costa_a. el_aynaoui_y. 1
ferrero_j.c. mantilla_f. 1
kiefer_n. golmard_j. 1
ferrero_j.c. alami_k. 1
kiefer_n. costa_a. 1
kiefer_n. ferrero_j.c. 1
clement_a. pretzsch_a. 1
diaz_j. bjorkman_j. 1
enqvist_t. portas_a. 1
federer_r. dupuis_a. 1
grosjean_s. di_pasquale_a. 1
guardiola_t. stanoytchev_o. 1
ivanisevic_g. saulnier_c. 1
johansson_t. bastl_g. 1
kafelnikov_y. pozzi_g. 1
kroslak_j. hrbaty_d. 1
ljubicic_i. voinea_a. 1
rosset_m. arthurs_w. 1
roux_l. knippschild_j. 1
santoro_f. wessels_p. 1
siemerink_j. raoux_g. 1
vinciguerra_a. safin_m. 1
federer_r. johansson_t. 1
grosjean_s. roux_l. 1
guardiola_t. kroslak_j. 1
ivanisevic_g. enqvist_t. 1
ljubicic_i. kafelnikov_y. 1
rosset_m. clement_a. 1
santoro_f. siemerink_j. 1
vinciguerra_a. diaz_j. 1
federer_r. ljubicic_i. 1
grosjean_s. vinciguerra_a. 1
rosset_m. ivanisevic_g. 1
santoro_f. guardiola_t. 1
federer_r. santoro_f. 1
rosset_m. grosjean_s. 1
rosset_m. federer_r. 1
agenor_r. king_p. 1
chang_m. srichaphan_p. 1
courier_j. taino_e. 1
ferreira_w. salzenstein_j. 1
gimelstob_j. gambill_j.m. 1
goldstein_p. blake_j. 1
gumy_h. woodbridge_t. 1
larsson_m. rodriguez_m. 1
liukko_v. tieleman_l. 1
malisse_x. fromberg_r. 1
mamiit_c. alonso_j. 1
philippoussis_m. canas_g. 1
sargsian_s. van_lottum_j. 1
tillstrom_m. squillari_f. 1
woodforde_m. humphries_s. 1
zib_t. massu_n. 1
chang_m. mamiit_c. 1
courier_j. gumy_h. 1
ferreira_w. liukko_v. 1
gimelstob_j. zib_t. 1
goldstein_p. malisse_x. 1
larsson_m. woodforde_m. 1
philippoussis_m. agenor_r. 1
tillstrom_m. sargsian_s. 1
courier_j. goldstein_p. 1
ferreira_w. larsson_m. 1
philippoussis_m. gimelstob_j. 1
tillstrom_m. chang_m. 1
philippoussis_m. courier_j. 1
tillstrom_m. ferreira_w. 1
philippoussis_m. tillstrom_m. 1
levy_h. sekulov_j. 1
macphie_b. manta_l. 1
mamiit_c. jensen_l. 1
massu_n. etlis_g. 1
popp_a. behrend_t. 1
pretzsch_a. knowles_m. 1
reneberg_r. goldstein_p. 1
rodriguez_m. gimelstob_j. 1
sa_a. agenor_r. 1
salzenstein_j. jonsson_f. 1
sanguinetti_d. dupuis_a. 1
srichaphan_p. caratti_c. 1
stanoytchev_o. lareau_s. 1
tieleman_l. bryan_b. 1
woodforde_m. alonso_j. 1
zib_t. hantschk_m. 1
black_b. rodriguez_m. 1
chang_m. pretzsch_a. 1
ferreira_w. popp_a. 1
fromberg_r. sanguinetti_d. 1
gambill_j.m. stanoytchev_o. 1
gumy_h. massu_n. 1
haas_t. salzenstein_j. 1
larsson_m. zib_t. 1
mamiit_c. mirnyi_m. 1
philippoussis_m. macphie_b. 1
sa_a. spadea_v. 1
sargsian_s. levy_h. 1
schuettler_r. srichaphan_p. 1
tieleman_l. courier_j. 1
tillstrom_m. reneberg_r. 1
woodruff_c. woodforde_m. 1
black_b. woodruff_c. 1
chang_m. gumy_h. 1
ferreira_w. mamiit_c. 1
haas_t. tillstrom_m. 1
larsson_m. philippoussis_m. 1
sa_a. fromberg_r. 1
sargsian_s. tieleman_l. 1
schuettler_r. gambill_j.m. 1
black_b. chang_m. 1
haas_t. ferreira_w. 1
